date,total_revenue_usd,total_marketing_spend_usd,total_new_clients,total_churned_clients,total_active_clients,total_new_leads,total_projects_completed,headcount,website_organic_sessions,avg_client_csat,inbound_mqls,gross_margin_pct
2018-01-01,83895.77,8197.18,6,0,19,54,17,20,9039,4.07,84,0.36
2018-02-01,73094.79,6144.62,4,1,22,32,16,20,9478,4.03,51,0.32
2018-03-01,74632.64,8889.95,6,0,28,44,17,23,9271,4.14,63,0.35
2018-04-01,74262.79,6161.94,6,1,33,53,14,23,9416,4.06,74,0.3
2018-05-01,77904.98,7289.18,3,3,33,31,21,24,9614,4.17,41,0.33
2018-06-01,88472.72,9764.39,5,3,39,34,20,26,8877,4.03,45,0.36
2018-07-01,87868.84,8912.99,6,1,44,43,20,27,9317,4.12,61,0.33
2018-08-01,93387.24,9533.67,6,3,47,41,29,27,9516,4.18,65,0.36
2018-09-01,94900.6,11026.11,4,3,48,37,36,28,10590,3.98,56,0.38
2018-10-01,100587.28,12416.32,4,3,49,31,28,28,10772,4.23,44,0.35
2018-11-01,106090.51,9566.41,8,4,53,64,27,29,9719,4.09,102,0.34
2018-12-01,98682.33,10276.99,6,2,57,57,33,29,9224,4.12,81,0.35
2019-01-01,108138.88,9131.17,7,5,62,66,37,32,10901,4.15,91,0.35
2019-02-01,103175.08,10293.2,7,4,65,54,24,32,10699,4.16,77,0.36
2019-03-01,107287.62,9649.23,8,4,69,55,34,33,10708,4.14,75,0.37
2019-04-01,109248.7,11940.92,4,4,69,34,25,33,11409,4.18,53,0.36
2019-05-01,111887.58,11786.72,6,4,71,50,29,33,11360,4.16,70,0.41
2019-06-01,114512.82,11508.07,8,4,78,55,24,33,10870,4.23,82,0.36
2019-07-01,109228.2,10333.62,5,4,79,40,30,33,11927,4.16,57,0.4
2019-08-01,119880.3,12896.43,4,5,78,31,33,35,11722,4.25,49,0.36
2019-09-01,115427.35,10473.57,4,5,77,33,30,35,13394,4.18,49,0.38
2019-10-01,129412.82,12527.87,8,4,81,58,36,35,13643,4.02,84,0.4
2019-11-01,128106.48,14960.53,7,6,82,64,29,35,12257,4.29,86,0.4
2019-12-01,136270.63,14389.42,8,5,85,58,35,39,12259,4.1,91,0.37
2020-01-01,133075.53,14296.58,8,6,90,65,33,39,12809,4.23,95,0.39
2020-02-01,127358.96,11307.17,8,6,92,68,35,40,12102,4.14,94,0.39
2020-03-01,96015.93,9891.91,6,6,92,45,20,40,12065,4.2,70,0.37
2020-04-01,97600.51,10085.92,6,5,93,47,27,40,12806,4.1,62,0.39
2020-05-01,95694.09,8500.99,4,5,92,33,19,40,11510,4.18,46,0.42
2020-06-01,99188.16,10532.52,5,6,91,41,25,40,11968,4.13,60,0.39
2020-07-01,121011.44,11465.29,5,7,89,35,33,40,11357,4.24,49,0.39
2020-08-01,129631.02,10937.09,9,6,92,81,29,44,14149,4.17,117,0.39
2020-09-01,130436.63,11322.33,8,5,95,52,47,45,14081,4.2,72,0.35
2020-10-01,140922.26,12760.38,8,5,98,74,44,45,14737,4.02,99,0.39
2020-11-01,148736.33,15469.67,6,6,98,54,29,45,14486,4.15,71,0.36
2020-12-01,142751.22,14974.54,7,6,99,66,36,45,13869,4.18,89,0.36
2021-01-01,178307.52,18439.66,11,5,108,81,42,47,16012,4.17,128,0.42
2021-02-01,165079.18,18415.28,9,7,110,70,31,47,13125,4.21,103,0.37
2021-03-01,168409.14,14391.67,8,5,113,64,38,47,15859,4.14,93,0.36
2021-04-01,169753.86,16195.31,12,7,118,98,47,47,15110,4.16,139,0.39
2021-05-01,166986.69,14528.6,10,7,121,72,45,47,13922,4.23,109,0.35
2021-06-01,168053.45,18050.58,8,7,122,75,51,48,14937,4.02,101,0.36
2021-07-01,160809.25,16349.07,8,8,122,58,36,48,13985,4.2,80,0.39
2021-08-01,167172.21,16821.62,8,8,122,75,43,50,14815,4.14,112,0.36
2021-09-01,164766.43,20879.18,10,9,123,78,34,50,17615,4.11,113,0.33
2021-10-01,185546.07,17942.99,13,8,128,95,52,51,15074,4.19,145,0.37
2021-11-01,190939.35,15043.08,9,8,129,72,39,51,16016,4.24,113,0.35
2021-12-01,188051.28,14162.82,12,9,132,97,45,51,16186,4.23,150,0.39
2022-01-01,177995.01,18146.1,9,7,134,79,40,51,18928,4.16,107,0.34
2022-02-01,169035.37,17066.76,8,7,135,71,42,53,14869,4.23,94,0.37
2022-03-01,169286.86,17768.91,11,9,137,89,57,53,17656,4.23,120,0.38
2022-04-01,166343.39,17270.5,9,11,135,84,57,53,16074,4.17,129,0.33
2022-05-01,179611.26,16607.15,10,7,138,97,46,54,15543,4.14,153,0.34
2022-06-01,156045.89,17519.75,7,9,136,54,39,55,15106,4.14,85,0.35
2022-07-01,156407.66,13650.04,12,8,140,85,45,55,16207,4.23,118,0.32
2022-08-01,163697.27,14325.55,11,11,140,87,34,56,17695,4.18,135,0.34
2022-09-01,167149.57,18853.53,11,9,142,83,51,58,17903,4.12,121,0.33
2022-10-01,186687.62,17418.17,10,10,142,74,53,58,19895,4.08,114,0.33
2022-11-01,194727.61,18361.52,14,9,147,125,57,58,17381,4.24,183,0.33
2022-12-01,192534.74,17831.44,11,12,146,81,56,58,17089,4.16,109,0.33
2023-01-01,206083.31,18235.43,12,7,151,90,54,59,19359,4.21,119,0.33
2023-02-01,187268.36,19321.57,12,8,155,105,44,59,18945,4.27,167,0.31
2023-03-01,190964.45,19388.42,9,9,155,71,42,60,18594,4.11,101,0.31
2023-04-01,183497.03,17821.37,13,10,158,80,47,62,19114,4.19,112,0.32
2023-05-01,198371.99,20995.57,12,8,162,80,49,62,18984,4.19,113,0.32
2023-06-01,184527.2,17190.06,12,13,161,78,48,62,19570,4.22,110,0.31
2023-07-01,183860.37,20122.21,9,10,160,79,54,62,19470,4.27,125,0.32
2023-08-01,201903.63,17562.44,15,12,163,137,47,65,18969,4.12,181,0.28
2023-09-01,199229.61,19736.52,13,11,165,91,44,65,21958,4.24,122,0.3
2023-10-01,213533.3,18362.93,14,12,167,127,60,65,22658,4.27,195,0.3
2023-11-01,227999.5,20446.83,11,12,166,93,46,66,19228,4.19,136,0.29
