date,service_line,active_clients,new_clients,churned_clients,new_leads,revenue_usd,marketing_spend_usd,projects_completed,avg_deal_size_usd
2018-01-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2018-02-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2018-03-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2018-04-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2018-05-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2018-06-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2018-07-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2018-08-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2018-09-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2018-10-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2018-11-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2018-12-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2019-01-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2019-02-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2019-03-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2019-04-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2019-05-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2019-06-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2019-07-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2019-08-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2019-09-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2019-10-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2019-11-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2019-12-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2020-01-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2020-02-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2020-03-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2020-04-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2020-05-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2020-06-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2020-07-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2020-08-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2020-09-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2020-10-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2020-11-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2020-12-01,Celebrity Management,0,0,0,0,0.0,0.0,0,0.0
2021-01-01,Celebrity Management,3,0,0,0,7100.48,821.17,1,8187.53
2021-02-01,Celebrity Management,3,0,0,0,5865.56,405.16,1,4551.8
2021-03-01,Celebrity Management,3,0,0,0,7313.1,570.8,1,6620.62
2021-04-01,Celebrity Management,3,0,0,0,6793.15,503.93,2,8852.65
2021-05-01,Celebrity Management,3,0,0,0,6701.93,605.12,0,3366.11
2021-06-01,Celebrity Management,3,0,0,0,5654.97,389.4,0,5891.66
2021-07-01,Celebrity Management,3,0,0,0,5816.3,739.07,1,3814.83
2021-08-01,Celebrity Management,3,0,0,0,6413.77,398.07,2,2766.67
2021-09-01,Celebrity Management,3,0,0,0,7054.22,574.73,1,8735.96
2021-10-01,Celebrity Management,3,0,0,0,7254.11,952.19,1,7826.92
2021-11-01,Celebrity Management,3,0,0,0,8349.94,931.43,1,11914.78
2021-12-01,Celebrity Management,3,0,0,0,8948.29,600.51,1,7245.97
2022-01-01,Celebrity Management,3,0,0,0,8429.21,608.72,1,9239.5
2022-02-01,Celebrity Management,3,0,0,0,6392.59,577.13,0,9211.65
2022-03-01,Celebrity Management,3,0,0,0,5802.04,464.08,1,4250.73
2022-04-01,Celebrity Management,3,0,0,0,6730.09,585.22,1,6960.15
2022-05-01,Celebrity Management,3,0,0,0,6077.55,674.81,0,11103.13
2022-06-01,Celebrity Management,3,0,0,0,5737.69,573.71,1,11233.06
2022-07-01,Celebrity Management,3,0,0,0,5928.19,416.89,0,6984.54
2022-08-01,Celebrity Management,3,0,0,0,6217.62,398.73,0,4453.84
2022-09-01,Celebrity Management,3,0,0,0,6720.64,652.07,1,4442.51
2022-10-01,Celebrity Management,3,0,0,0,7832.02,550.36,0,9654.54
2022-11-01,Celebrity Management,3,0,0,0,7998.69,965.59,0,8447.2
2022-12-01,Celebrity Management,3,0,0,0,7382.0,752.75,1,10229.94
2023-01-01,Celebrity Management,3,0,0,0,8932.16,1077.97,1,4483.18
2023-02-01,Celebrity Management,3,0,0,0,7091.33,817.43,1,3996.09
2023-03-01,Celebrity Management,3,0,0,0,7691.75,704.56,1,9937.15
2023-04-01,Celebrity Management,3,0,0,0,7393.6,673.43,1,6695.42
2023-05-01,Celebrity Management,3,0,0,0,8427.69,1053.66,1,7962.64
2023-06-01,Celebrity Management,3,0,0,0,6239.15,516.43,1,6952.1
2023-07-01,Celebrity Management,3,0,0,0,6635.67,776.57,1,9593.94
2023-08-01,Celebrity Management,3,0,0,0,7343.74,873.01,1,5032.75
2023-09-01,Celebrity Management,3,0,0,0,7602.54,483.78,1,8268.47
2023-10-01,Celebrity Management,3,0,0,0,10582.58,1257.15,1,5802.88
2023-11-01,Celebrity Management,3,0,0,0,9561.81,1082.24,1,8761.06
2023-12-01,Celebrity Management,4,1,0,9,10530.32,1125.8,1,2616.33
2024-01-01,Celebrity Management,4,0,0,0,10171.93,648.27,1,10835.89
2024-02-01,Celebrity Management,4,0,0,0,8621.36,841.06,1,3910.21
2024-03-01,Celebrity Management,4,0,0,0,9400.61,729.17,1,5387.62
2024-04-01,Celebrity Management,5,1,0,9,8750.36,1219.72,0,2750.76
2024-05-01,Celebrity Management,5,0,0,0,9579.04,1144.02,1,4130.56
2024-06-01,Celebrity Management,5,0,0,0,8181.57,857.11,1,7420.92
2024-07-01,Celebrity Management,5,0,0,0,9009.92,815.21,0,4782.7
2024-08-01,Celebrity Management,5,0,0,0,8802.94,1193.19,1,4682.45
2024-09-01,Celebrity Management,5,0,0,0,8282.25,849.75,1,7266.3
2024-10-01,Celebrity Management,5,0,0,0,10247.75,1401.78,1,8435.26
2024-11-01,Celebrity Management,5,0,0,0,11848.12,1627.21,1,4191.46
2024-12-01,Celebrity Management,5,0,0,0,10864.35,955.27,1,9083.26
2025-01-01,Celebrity Management,5,0,0,0,9604.57,699.11,1,6243.44
2025-02-01,Celebrity Management,5,0,0,0,9732.17,783.73,1,4600.59
2025-03-01,Celebrity Management,5,0,0,0,10353.26,842.32,1,3691.16
2025-04-01,Celebrity Management,5,0,0,0,9355.57,997.69,2,6565.18
2025-05-01,Celebrity Management,6,1,0,6,9259.97,750.36,2,3074.4
2025-06-01,Celebrity Management,6,0,0,0,8990.68,783.29,1,6167.32
2025-07-01,Celebrity Management,7,1,0,7,8302.08,1155.14,1,2744.19
2025-08-01,Celebrity Management,6,0,1,0,9618.3,903.53,1,6080.71
2025-09-01,Celebrity Management,6,0,0,0,9820.24,963.95,2,10571.06
2025-10-01,Celebrity Management,6,0,0,0,14087.5,999.87,2,5546.46
2025-11-01,Celebrity Management,5,0,1,0,11328.9,1426.97,2,6844.71
2025-12-01,Celebrity Management,5,0,0,0,12310.23,796.51,1,10916.76
2026-01-01,Celebrity Management,5,0,0,0,11976.99,1252.0,2,5154.68
2026-02-01,Celebrity Management,5,0,0,0,9097.71,932.76,1,3662.75
2026-03-01,Celebrity Management,5,0,0,0,10690.02,1359.06,1,10635.31
2026-04-01,Celebrity Management,5,0,0,0,10288.48,723.74,1,6769.84
2026-05-01,Celebrity Management,5,0,0,0,10036.13,1037.89,1,5113.74
2026-06-01,Celebrity Management,5,0,0,0,10171.5,880.36,1,11781.56
2026-07-01,Celebrity Management,5,0,0,0,9171.16,936.09,1,2580.38
2026-08-01,Celebrity Management,5,0,0,0,10730.8,713.8,1,5074.34
2018-01-01,Digital PR,0,0,0,0,0.0,0.0,0,0.0
2018-02-01,Digital PR,0,0,0,0,0.0,0.0,0,0.0
2018-03-01,Digital PR,0,0,0,0,0.0,0.0,0,0.0
2018-04-01,Digital PR,0,0,0,0,0.0,0.0,0,0.0
2018-05-01,Digital PR,0,0,0,0,0.0,0.0,0,0.0
2018-06-01,Digital PR,0,0,0,0,0.0,0.0,0,0.0
2018-07-01,Digital PR,0,0,0,0,0.0,0.0,0,0.0
2018-08-01,Digital PR,0,0,0,0,0.0,0.0,0,0.0
2018-09-01,Digital PR,0,0,0,0,0.0,0.0,0,0.0
2018-10-01,Digital PR,0,0,0,0,0.0,0.0,0,0.0
